"Catalog #","Accession #","Class 1","Kingdom","Phylum/Division","Class","Order","Family","Sci. Name:Genus","Sci. Name:Species","Common Name","TSN","Collection #","Item Count","Quantity","Storage Unit","Description","Dimens/Weight","Collector","Collection Date","Condition","Condition Desc","Study #","Other Numbers","Cataloger","Catalog Date","Identified By","Ident Date","Repro Method","Locality","Unit","State","Reference Datum","Watrbody/Drain:Waterbody","Watrbody/Drain:Drainage","UTM Z/E/N","Lat LongN/W","Elevation","Depth","Depos Environ","Habitat/Comm","Habitat","Slope","Aspect","Soil Type","For/Per/Sub","Assoc Spec","Type Specimen","Threat/Endang","T/E Date","Rare","Exotic/Native","Age","Sex","NOTES","Field Season","Ctrl Prop","Location","Object Status","Status Date","Catalog Folder","Maint. Cycle"
"BELA   56282","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Parmelia","omphalodes","","190717","20978","1.00","0.00","EA","Parmelia omphalodes ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56477; ALAAC#L24581; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946153","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.36536/-163.33598","1600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56283","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","subuliformis","","192029","21036","1.00","0.00","EA","Thamnolia subuliformis ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56478; ALAAC#L24718; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946152","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.28011/-162.8716","2300 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56284","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","arbuscula","","","20833","1.00","0.00","EA","Cladina arbuscula ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56479; ALAAC#L24538; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946154","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.37055/-163.50363","1450 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56285","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","arbuscula","","","20985","1.00","0.00","EA","Cladina arbuscula ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56480; ALAAC#L24582; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946153","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.36536/-163.33598","1600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56286","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","arbuscula","","","21021","1.00","0.00","EA","Cladina mitis ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56482; ALAAC#L24716; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946152","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.28011/-162.8716","2300 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56287","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","rangiferina","","","20835","1.00","0.00","EA","Cladina rangiferina ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56483; ALAAC#L24539; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946154","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.37055/-163.50363","1450 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56288","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Cetraria","pinastri","","","20966","1.00","0.00","EA","Cetraria pinastri ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56484; ALAAC#L24578; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946153","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.36536/-163.33598","1600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56289","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Nephromataceae","Nephroma","arcticum","","191286","20845","1.00","0.00","EA","Nephroma arcticum ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56485; ALAAC#L24541; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946154","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.37055/-163.50363","1450 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56290","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","gracilis","","189904","20971b","1.00","0.00","EA","Cladonia gracilis ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56486; ALAAC#L24580; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946153","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.36536/-163.33598","1600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56291","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","gracilis","","189904","20839","1.00","0.00","EA","Cladonia gracilis ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56487; ALAAC#L24540; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946154","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.37055/-163.50363","1450 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56292","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Sphaerophoraceae","Sphaerophorus","fragilis","","","21033","1.00","0.00","EA","Sphaerophorus fragilis ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56488; ALAAC#L31098; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946152","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.28011/-162.8716","2300 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56293","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Cetraria","delisei","","190610","20961","1.00","0.00","EA","Cetraria delisei ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56489; ALAAC#L31091; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946153","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.36536/-163.33598","1600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56294","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Dactylina","arctica","","190651","20976","1.00","0.00","EA","Dactylina arctica ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56490; ALAAC#L31092; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946153","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.36536/-163.33598","1600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56295","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","subuliformis","","192029","20983","1.00","0.00","EA","Thamnolia subuliformis ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56495; ALAAC#L31093; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946153","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.36536/-163.33598","1600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56296","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","squamosa","","189968","20840","1.00","0.00","EA","Cladonia squamosa ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56505; ALAAC#L31074; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946154","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.37055/-163.50363","1450 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56297","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","bellidiflora","","189856","21026","1.00","0.00","EA","Cladonia bellidiflora ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56506; ALAAC#L31097; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946152","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.28011/-162.8716","2300 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56298","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","bellidiflora","","189856","20858","1.00","0.00","EA","Cladonia bellidiflora ; Lichen specimen","","Emily A. Holt","6/13/2003","COM/EX","","","GUID:UAMb:Herb:56507; ALAAC#L31318; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946154","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/13/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.37055/-163.50363","1450 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56299","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Cetraria","ericetorum","","190612","21312","1.00","0.00","EA","Cetraria ericetorum ; Lichen specimen","","Emily A. Holt","6/14/2003","COM/EX","","","GUID:UAMb:Herb:56508; ALAAC#L24787; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946159","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/14/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.75951/-163.2392","2025 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56300","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Cetraria","andrejevii","","190604","21231","1.00","0.00","EA","Cetraria andrejevii ; Lichen specimen","","Emily A. Holt","6/14/2003","COM/EX","","","GUID:UAMb:Herb:56509; ALAAC#L24766; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946160","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/14/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.80102/-162.96651","1050 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56301","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Bryocaulon","divergens","","190567","21230","1.00","0.00","EA","Bryocaulon divergens ; Lichen specimen","","Emily A. Holt","6/14/2003","COM/EX","","","GUID:UAMb:Herb:56510; ALAAC#L24765; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946160","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/14/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.80102/-162.96651","1050 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56302","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Hypogymnia","subobscura","","190687","21324","1.00","0.00","EA","Hypogymnia subobscura ; Lichen specimen","","Emily A. Holt","6/14/2003","COM/EX","","","GUID:UAMb:Herb:56511; ALAAC#L24789; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946159","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/14/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.75951/-163.2392","2025 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56303","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Hypogymnia","physodes","","190682","21240","1.00","0.00","EA","Hypogymnia physodes ; Lichen specimen","","Emily A. Holt","6/14/2003","COM/EX","","","GUID:UAMb:Herb:56516; ALAAC#L24767; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946160","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/14/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.80102/-162.96651","1050 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56304","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Dactylina","arctica","","190651","21319","1.00","0.00","EA","Dactylina arctica ; Lichen specimen","","Emily A. Holt","6/14/2003","COM/EX","","","GUID:UAMb:Herb:56512; ALAAC#L24788; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946159","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/14/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.75951/-163.2392","2025 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56305","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","vermicularis","","192030","21247","1.00","0.00","EA","Thamnolia vermicularis ; Lichen specimen","","Emily A. Holt","6/14/2003","COM/EX","","","GUID:UAMb:Herb:56513; ALAAC#L24768; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946160","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/14/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.80102/-162.96651","1050 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56306","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","subuliformis","","192029","21327","1.00","0.00","EA","Thamnolia subuliformis ; Lichen specimen","","Emily A. Holt","6/14/2003","COM/EX","","","GUID:UAMb:Herb:56514; ALAAC#L24790; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946159","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/14/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.75951/-163.2392","2025 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56307","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Dactylina","ramulosa","","190654","21320","1.00","0.00","EA","Dactylina ramulosa ; Lichen specimen","","Emily A. Holt","6/14/2003","COM/EX","","","GUID:UAMb:Herb:56515; ALAAC#L31122; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946159","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/14/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.75951/-163.2392","2025 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56308","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Cetraria","laevigata","","190623","20480","1.00","0.00","EA","Cetraria laevigata ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56517; ALAAC#L24433; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946157","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.78442/-164.48277","1350 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56309","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Cetraria","kamczatica","","190622","20478","1.00","0.00","EA","Cetraria kamczatica ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56518; ALAAC#L24432; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946157","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.78442/-164.48277","1350 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56310","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Cetraria","delisei","","190610","21458","1.00","0.00","EA","Cetraria delisei ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56523; ALAAC#L24819; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946156","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.7208/-164.17265","1000 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56311","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","cornuta","","189873","20484","1.00","0.00","EA","Cladonia cornuta ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56519; ALAAC#L24434; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946157","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.78442/-164.48277","1350 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56312","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Hypogymnia","subobscura","","190687","21467","1.00","0.00","EA","Hypogymnia subobscura ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56520; ALAAC#L24825; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946156","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.7208/-164.17265","1000 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56313","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","vermicularis","","192030","20565","1.00","0.00","EA","Thamnolia vermicularis ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56521; ALAAC#L24455; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946155","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.81852/-164.48854","1550 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56314","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","vermicularis","","192030","20497","1.00","0.00","EA","Thamnolia vermicularis ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56522; ALAAC#L24438; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946157","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.78442/-164.48277","1350 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56315","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","subuliformis","","192029","20443","1.00","0.00","EA","Thamnolia subuliformis ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56524; ALAAC#L24423; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946158","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.78561/-164.26321","775 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56316","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","subuliformis","","192029","21468","1.00","0.00","EA","Thamnolia subuliformis ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56525; ALAAC#L24826; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946156","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.7208/-164.17265","1000 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56317","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Cetraria","nivalis","","190626","20541","1.00","0.00","EA","Cetraria nivalis ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56491; ALAAC#L24451; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946155","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.81852/-164.48854","1550 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56318","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","arbuscula","","","21462","1.00","0.00","EA","Cladina arbuscula ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56492; ALAAC#L24824; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946156","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.7208/-164.17265","1000 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56319","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","arbuscula","","","20542","1.00","0.00","EA","Cladina arbuscula ; Lichen specimen","","Emily A. Holt","6/15/2003","COM/EX","","","GUID:UAMb:Herb:56493; ALAAC#L24452; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946155","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/15/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.81852/-164.48854","1550 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
