"Catalog #","Accession #","Class 1","Kingdom","Phylum/Division","Class","Order","Family","Sci. Name:Genus","Sci. Name:Species","Common Name","TSN","Collection #","Item Count","Quantity","Storage Unit","Description","Dimens/Weight","Collector","Collection Date","Condition","Condition Desc","Study #","Other Numbers","Cataloger","Catalog Date","Identified By","Ident Date","Repro Method","Locality","Unit","State","Reference Datum","Watrbody/Drain:Waterbody","Watrbody/Drain:Drainage","UTM Z/E/N","Lat LongN/W","Elevation","Depth","Depos Environ","Habitat/Comm","Habitat","Slope","Aspect","Soil Type","For/Per/Sub","Assoc Spec","Type Specimen","Threat/Endang","T/E Date","Rare","Exotic/Native","Age","Sex","NOTES","Field Season","Ctrl Prop","Location","Object Status","Status Date","Catalog Folder","Maint. Cycle"
"BELA   56435","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","sulphurina","","189982","21089","1.00","0.00","EA","Cladonia sulphurina ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56829; ALAAC#L24730; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946263","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.53743/-164.07742","375 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56436","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","stellaris","","","21072","1.00","0.00","EA","Cladina stellaris ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56830; ALAAC#L24725; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946255","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.53077/-163.96111","350 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56437","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","amaurocraea","","189848","21086","1.00","0.00","EA","Cladonia amaurocraea ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56856; ALAAC#L24729; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946263","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.53743/-164.07742","375 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56438","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Arctoparmelia","separata","","","21118","1.00","0.00","EA","Arctoparmelia separata ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56852; ALAAC#L31107; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946254","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.56359/-163.85333","600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56439","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Stereocaulaceae","Stereocaulon","paschale","","","21136","1.00","0.00","EA","Stereocaulon paschale ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56853; ALAAC#L31111; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946254","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.56359/-163.85333","600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56440","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","uncialis","","189989","21125","1.00","0.00","EA","Cladonia uncialis ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56854; ALAAC#L31109; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946254","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.56359/-163.85333","600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56441","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Bryocaulon","divergens","","190567","21119","1.00","0.00","EA","Bryocaulon divergens ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56855; ALAAC#L31108; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946254","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.56359/-163.85333","600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56442","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Umbilicariales","Umbilicariaceae","Umbilicaria","proboscidea","","191840","21134","1.00","0.00","EA","Umbilicaria proboscidea ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56857; ALAAC#L31110; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946254","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.56359/-163.85333","600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56443","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","crispata","","189876","21435","1.00","0.00","EA","Cladonia crispata ; Lichen specimen","","Emily A. Holt","7/5/2003","COM/EX","","","GUID:UAMb:Herb:56858; ALAAC#L24811; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946268","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/5/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.65105/-164.14137","425 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56444","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","cornuta","","189873","21446","1.00","0.00","EA","Cladonia cornuta ; Lichen specimen","","Emily A. Holt","7/5/2003","COM/EX","","","GUID:UAMb:Herb:56884; ALAAC#L24815; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946275","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/5/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.6033/-164.23975","525 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
