Catalog #,Accession #,Class 1,Kingdom,Phylum/Division,Class,Order,Family,Sci. Name:Genus,Sci. Name:Species,Common Name,TSN,Item Count,Quantity,Storage Unit,Description,Dimens/Weight,Collector,Collection #,Collection Date,Condition,Condition Desc,Study #,Other Numbers,Cataloger,Catalog Date,Identified By,Ident Date,Repro Method,Locality,Unit,State,Reference Datum,Watrbody/Drain:Waterbody,Watrbody/Drain:Drainage,UTM Z/E/N,Lat LongN/W,Elevation,Depth,Depos Environ,Habitat/Comm,Habitat,Slope,Aspect,Soil Type,For/Per/Sub,Assoc Spec,Type Specimen,Threat/Endang,T/E Date,Rare,Exotic/Native,Age,Sex,Notes,Field Season,Ctrl Prop,Location,Object Status,Status Date,Catalog Folder,Maint. Cycle
BELA   56213,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Lecanorales,Cladoniaceae,Cladina,stygia,"","",1,"",EA,Cladina stygia; whole organism,"","NEITLICH, PETER",20242,8/13/2000,COM/GD,"","",Arctos=UAMb:Herb:56403 ALAAC=L24368,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/13/2000,"","In Bering Land Bridge National Preserve, Plot J","",AK,WGS 84,"","","",N65.44219/W163.46541,,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56214,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,uncialis,"","",1,"",EA,Cladonia uncialis; whole organism,"","NEITLICH, PETER",20264,8/13/2000,COM/GD,"","",Arctos=UAMb:Herb:56404 ALAAC=L31038,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/13/2000,"","In Bering Land Bridge National Preserve, Plot K","",AK,WGS 84,"","","",N65.33863/W163.3376,,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56216,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Lecanorales,Cladoniaceae,Cladina,arbuscula,"","",1,"",EA,Cladina arbuscula; whole organism,"","NEITLICH, PETER",3193,7/1/2001,COM/GD,"","",Arctos=UAMb:Herb:56405 ALAAC=L27295,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2001,"",Bering Land Bridge Lava Beds.,"",AK,WGS 84,"","","",N65.52017/W163.53413,125 m,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56217,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,macrophylla,"","",1,"",EA,Cladonia macrophylla; whole organism,"","NEITLICH, PETER",3194,7/1/2001,COM/GD,"","",Arctos=UAMb:Herb:56406 ALAAC=L27296,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2001,"",Bering Land Bridge Lava Beds.,"",AK,WGS 84,"","","",N65.52017/W163.53413,125 m,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56218,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetraria,nigricans,"","",1,"",EA,Cetraria nigricans; whole organism,"","NEITLICH, PETER",20228,8/15/2001,COM/GD,"","",Arctos=UAMb:Herb:56407 ALAAC=L24358,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/15/2001,"","In Bering Land Bridge National Preserve, Plot N","",AK,WGS 84,"","","",N65.51183/W163.38339,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56219,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,uncialis,"","",1,"",EA,Cladonia uncialis; whole organism,"","NEITLICH, PETER",20263,8/15/2001,COM/GD,"","",Arctos=UAMb:Herb:56408 ALAAC=L24378,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/15/2001,"","In Bering Land Bridge National Preserve, Plot W","",AK,WGS 84,"","","",N65.57865/W163.57498,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56215,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,coccifera,"","",1,"",EA,Cladonia coccifera; whole organism,"","NEITLICH, PETER",3192,7/1/2001,COM/GD,"","",Arctos=UAMb:Herb:56409 ALAAC=L27294,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2001,"",Bering Land Bridge Lava Beds.,"",AK,WGS 84,"","","",N65.52017/W163.53413,125 m,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56220,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Dactylina,beringica,"","",1,"",EA,Dactylina beringica; whole organism,"","NEITLICH, PETER",20269,8/15/2001,COM/GD,"","",Arctos=UAMb:Herb:56410 ALAAC=L24381,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/15/2001,"","In Bering Land Bridge National Preserve, Plot N","",AK,WGS 84,"","","",N65.51183/W163.38339,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56221,BELA-00128,BIOLOGY,Fungi,,Lecanoromycetes,,Icmadophilaceae,Thamnolia,subuliformis,"","",1,"",EA,Thamnolia subuliformis; whole organism,"","NEITLICH, PETER",20273,8/15/2001,COM/GD,"","",Arctos=UAMb:Herb:56411 ALAAC=L24386,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/15/2001,"","In Bering Land Bridge National Preserve, Plot N","",AK,WGS 84,"","","",N65.51183/W163.38339,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56188,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelia,skultii,"","",1,"",EA,Parmelia skultii; whole organism,"","NEITLICH, PETER",3122,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56412 ALAAC=L27210,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56189,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelia,skultii,"","",1,"",EA,Parmelia skultii; whole organism,"","NEITLICH, PETER",3123,7/1/2000,COM/GD,"","",Arctos=UAMb:Herb:56413 ALAAC=L27211,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2000,"",Granite tors above Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.84222/W164.60405,400 m,"","","",,"","","","","",,"","","","","","","",2000,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
